plantName,scientificName
South Texas Ambrosia,Ambrosia cheiranthifolia
Prostrate Milkweed,Asclepias prostrata
Texas Ayenia,​Ayenia limitaris
Plains Gumweed,Grindelia oolepis
Walker’s Manioc,Manihot walkerae
Zapata Bladderpod,Physaria thamnophila
Ashy Dogweed,Thymophylla tephroleuca
South Texas Rush Pea​,Caesalpinia phyllanthoides​
Chandler’s Craglily​,Echeandia chandleri
Slender Rushpea,Hoffmannseggiai tenella
Runyon’s Huaco,Manfreda longiflora
Welder Machaeranthera,Psilactis heterocarpa
Bailey’s Ballmoss,Tillandsia baileyi
